Epoch 331: traj avg_rew -146.2961026613454, avg_traj_len 210.52631578947367
Epoch 332: traj avg_rew -165.27409296864363, avg_traj_len 250.0
Epoch 333: traj avg_rew -184.84576125398104, avg_traj_len 285.7142857142857
Epoch 334: traj avg_rew -207.0361449950962, avg_traj_len 307.6923076923077
Epoch 335: traj avg_rew -204.06379796485027, avg_traj_len 266.6666666666667
Epoch 336: traj avg_rew -134.75559262720827, avg_traj_len 235.2941176470588
Epoch 337: traj avg_rew -129.89616541020897, avg_traj_len 235.2941176470588
Epoch 338: traj avg_rew -180.56739473593788, avg_traj_len 250.0
Epoch 339: traj avg_rew -124.68471656012943, avg_traj_len 190.47619047619048
Epoch 340: traj avg_rew -129.98793858460655, avg_traj_len 307.6923076923077
Epoch 341: traj avg_rew -169.69784953519493, avg_traj_len 285.7142857142857
Epoch 342: traj avg_rew -181.4313987911193, avg_traj_len 222.22222222222223
Epoch 343: traj avg_rew -161.1018033393735, avg_traj_len 235.2941176470588
Epoch 344: traj avg_rew -140.89719337346423, avg_traj_len 222.22222222222223
Epoch 345: traj avg_rew -128.88205107533213, avg_traj_len 222.22222222222223
Epoch 346: traj avg_rew -147.54150815553828, avg_traj_len 222.22222222222223
Epoch 347: traj avg_rew -144.88848775158334, avg_traj_len 190.47619047619048
Epoch 348: traj avg_rew -149.88917152171177, avg_traj_len 222.22222222222223
Epoch 349: traj avg_rew -135.23819586647411, avg_traj_len 235.2941176470588
Epoch 350: traj avg_rew -153.75634497165436, avg_traj_len 235.2941176470588
Epoch 351: traj avg_rew -158.3079528728841, avg_traj_len 210.52631578947367
Epoch 352: traj avg_rew -140.18178976415476, avg_traj_len 235.2941176470588
Epoch 353: traj avg_rew -151.15646407180603, avg_traj_len 285.7142857142857
Epoch 354: traj avg_rew -156.97025480064053, avg_traj_len 210.52631578947367
Epoch 355: traj avg_rew -156.34060913219565, avg_traj_len 250.0
Epoch 356: traj avg_rew -147.28426397484665, avg_traj_len 250.0
Epoch 357: traj avg_rew -146.96150270165484, avg_traj_len 266.6666666666667
Epoch 358: traj avg_rew -167.25507654303956, avg_traj_len 250.0
Epoch 359: traj avg_rew -171.5685215209656, avg_traj_len 250.0
Epoch 360: traj avg_rew -170.3793048117494, avg_traj_len 266.6666666666667
Epoch 361: traj avg_rew -170.52855145576632, avg_traj_len 250.0
Epoch 362: traj avg_rew -132.89273683209768, avg_traj_len 222.22222222222223
Epoch 363: traj avg_rew -213.00164442871875, avg_traj_len 250.0
Epoch 364: traj avg_rew -134.97524719531643, avg_traj_len 235.2941176470588
Epoch 365: traj avg_rew -159.82438277762122, avg_traj_len 222.22222222222223
Epoch 366: traj avg_rew -142.7189410751667, avg_traj_len 235.2941176470588
